creature_ashilesian_vermin 2x1
5/5 anypool
5/5 anylake
5/5 anylaketemperate
5/5 anylaketropical
5/5 anymarshtemperate
5/5 anymarshtropical
5/5 anyswamptemperate
5/5 anyswamptropical
5/5 anytemperatewetland
5/5 anytropicalwetland
5/5 anywetland
5/5 poolbrackishwatertemperate
5/5 poolfreshwatertemperate
5/5 poolsaltwatertemperate
5/5 lakebrackishwatertemperate
5/5 lakebrackishwatertropical
5/5 lakefreshwatertemperate
5/5 lakefreshwatertropical
5/5 lakesaltwatertemperate
5/5 lakesaltwatertropical
5/5 marshfreshwatertemperate
5/5 marshfreshwatertropical
5/5 marshsaltwatertemperate
5/5 marshsaltwatertropical
5/5 swampfreshwatertemperate
5/5 swampfreshwatertropical
5/5 swampmangrove
5/5 swampsaltwatertemperate
5/5 swampsaltwatertropical
[OBJECT:CREATURE]
